                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4425,                 3.5596,                 1.9047,                0.54744,                0.55478,                0.55752,                0.34013,                  1.056,                 4.8922,                 1.8998,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.3306,                   2.41,                 1.7911,                0.44966,                0.47227,                0.41482,                 0.1762,                 1.6998,                 5.7048,                 2.6062,             0.00021242,             0.00021242,             0.00021242
                      3,                 1.1905,                  1.841,                 1.6116,                0.46391,                0.59097,                0.58146,                0.28156,                 1.5075,                 5.5285,                 2.6709,              0.0003202,              0.0003202,              0.0003202
                      4,                 1.2062,                 1.6946,                 1.6469,                0.44823,                0.63184,                0.59918,                0.31535,                 1.4213,                 3.4857,                 2.4675,             0.00042335,             0.00042335,             0.00042335
                      5,                 1.1315,                 1.5172,                 1.5968,                0.56573,                 0.6815,                0.65004,                 0.3458,                 1.4156,                  3.081,                 2.3725,             0.00052189,             0.00052189,             0.00052189
                      6,                 1.3201,                 1.6303,                 1.7606,                0.22958,                0.56204,                0.34608,                0.13289,                 1.9471,                 10.271,                 3.4619,             0.00061581,             0.00061581,             0.00061581
                      7,                 1.1526,                 1.3339,                 1.5514,                 0.5167,                0.41452,                0.36286,                0.15466,                 1.9566,                 8.0882,                 3.0913,              0.0007051,              0.0007051,              0.0007051
                      8,                 1.3111,                 1.6091,                 1.7193,                0.38821,                0.44039,                0.41461,                0.15683,                 2.2715,                 4.6371,                 3.7511,             0.00078977,             0.00078977,             0.00078977
                      9,                 1.2452,                 1.4743,                 1.6287,                0.48825,                0.41595,                 0.3427,                0.13214,                 2.1247,                 2.9786,                 2.9455,             0.00086983,             0.00086983,             0.00086983
                     10,                 1.2293,                 1.3064,                 1.6399,                0.31961,                 0.4181,                0.24191,                0.10719,                 2.1129,                 3.9985,                  2.889,             0.00094526,             0.00094526,             0.00094526
                     11,                 1.2609,                 1.3326,                  1.678,                0.22498,                 0.6216,                0.28934,                0.11008,                 1.9908,                 4.1758,                  3.008,              0.0010161,              0.0010161,              0.0010161
                     12,                 1.1842,                 1.2352,                 1.6017,                0.20435,                0.35209,                0.21726,                0.07355,                 2.4328,                 6.9813,                  3.193,              0.0010823,              0.0010823,              0.0010823
                     13,                 1.3546,                 1.3276,                 1.7111,                0.29501,                0.46126,                 0.2996,                 0.0886,                 2.4184,                 6.3425,                 3.4443,              0.0011438,              0.0011438,              0.0011438
                     14,                 1.2819,                 1.3292,                 1.7012,                0.19892,                0.41995,                0.19257,                0.07721,                 2.4323,                 5.8444,                 3.4537,              0.0012008,              0.0012008,              0.0012008
                     15,                 1.3072,                 1.4538,                 1.6925,                0.38117,                0.51858,                0.34617,                0.15659,                 1.6455,                 7.0936,                 2.7238,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.3012,                 1.5386,                  1.734,                0.36475,                0.50478,                0.38433,                0.18502,                 1.5675,                 3.7128,                 2.4994,              0.0012049,              0.0012049,              0.0012049
                     17,                  1.211,                  1.351,                 1.6262,                 0.3117,                0.57047,                0.42963,                0.19606,                 1.7006,                  3.026,                  2.775,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.3332,                 1.3574,                 1.7108,                0.60639,                 0.5689,                0.57987,                 0.2435,                 2.0287,                 3.1625,                 3.3511,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.3405,                 1.3825,                 1.7086,                0.55164,                0.53859,                0.52612,                0.21248,                 2.0951,                  3.435,                 3.3113,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.2684,                 1.2207,                 1.6419,                0.32736,                0.55014,                0.35481,                0.14814,                 2.0776,                 3.3389,                 3.0263,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.3232,                 1.3075,                 1.6688,                0.58174,                0.66441,                0.60771,                0.30701,                 1.6069,                   2.58,                 2.4877,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.3122,                 1.3286,                 1.7219,                0.72672,                0.61264,                0.69107,                0.35517,                 1.5278,                 2.6529,                 2.3019,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.2158,                 1.2424,                 1.6383,                 0.4367,                0.57085,                0.51008,                0.23229,                 1.7495,                 3.8931,                 2.6954,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2637,                 1.3152,                 1.6636,                0.72039,                0.69203,                0.72753,                0.40374,                 1.3474,                 2.4188,                 2.2583,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2275,                 1.2743,                 1.6363,                0.78243,                0.71207,                  0.757,                0.42876,                 1.2992,                 1.8194,                 2.0673,             0.00090785,             0.00090785,             0.00090785
