                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5505,                 4.0876,                 4.2277,                0.00459,                0.90738,                0.01614,                0.00563,                 2.4517,                 3.9318,                 4.1586,             0.00010002,             0.00010002,             0.00010002
                      1,                 2.4695,                 4.0285,                 4.2183,                0.00507,                0.91295,                0.03092,                0.01081,                 2.4459,                 3.9349,                 4.1549,             0.00019526,             0.00019526,             0.00019526
                      2,                 2.4609,                 3.9796,                 4.1461,                0.00511,                0.91481,                0.02538,                0.00841,                 2.4337,                 3.9368,                 4.1456,             0.00026739,             0.00026739,             0.00026739
                      3,                 2.5165,                 3.9711,                 4.1363,                  0.005,                0.91295,                0.02439,                0.00807,                 2.4177,                  3.936,                 4.1331,             0.00031641,             0.00031641,             0.00031641
                      4,                 2.4259,                 3.8778,                 4.0877,                0.00476,                0.88651,                0.05706,                0.01754,                 2.3851,                 3.9254,                 4.1045,             0.00034234,             0.00034234,             0.00034234
                      5,                 2.4361,                 3.8769,                 4.0399,                0.00458,                 0.8695,                0.15096,                0.04019,                 2.3514,                 3.9135,                 4.0705,             0.00034515,             0.00034515,             0.00034515
                      6,                 2.3879,                 3.8608,                 3.9923,                0.00455,                0.86192,                0.05073,                0.01405,                 2.3263,                 3.8846,                 4.0309,             0.00032486,             0.00032486,             0.00032486
                      7,                 2.3922,                 3.8679,                 3.9646,                0.00449,                0.86192,                0.06481,                  0.017,                 2.3053,                 3.8716,                 3.9935,             0.00028147,             0.00028147,             0.00028147
                      8,                  2.414,                 3.7369,                 3.8849,                0.00519,                0.86378,                0.06875,                 0.0238,                 2.2822,                 3.8538,                 3.8884,             0.00021498,             0.00021498,             0.00021498
                      9,                 2.3559,                 3.7508,                 3.8754,                0.00527,                 0.8562,                0.06345,                  0.022,                 2.2976,                 3.8332,                 3.8591,             0.00012538,             0.00012538,             0.00012538
